UBIGEO,NOMCP,DEP,DIST
080902,Manitinkiari,CUSCO,ECHARATE
050509,Talanquiato Bajo,AYACUCHO,SAMUGARI
050509,Talanquiato Alto,AYACUCHO,SAMUGARI
050509,Puente Belen,AYACUCHO,SAMUGARI
080907,Piedra Lisa,CUSCO,KIMBIRI
080907,Kintiarina,CUSCO,KIMBIRI
080907,Nueva Luz,CUSCO,KIMBIRI
080907,Cerro De Oro,CUSCO,KIMBIRI
080907,Alto Mayo,CUSCO,KIMBIRI
080902,Lagunas,CUSCO,ECHARATE
080902,Tivoriari,CUSCO,ECHARATE
080902,Tunkichaca,CUSCO,ECHARATE
080902,Lagunas Inkaare,CUSCO,ECHARATE
080902,Shirimpiari,CUSCO,ECHARATE
080902,Alto Poyentimari,CUSCO,ECHARATE
080902,Sol Naciente,CUSCO,ECHARATE
080902,Changuiro,CUSCO,ECHARATE
080902,Kitapanakiari,CUSCO,ECHARATE
080902,Mapotoato,CUSCO,ECHARATE
080902,Nueva Luz,CUSCO,ECHARATE
080902,Abra Cigakiato,CUSCO,ECHARATE
080902,Incari Lagunas,CUSCO,ECHARATE
080902,Puguientimari,CUSCO,ECHARATE
080902,Aguas Calientes,CUSCO,ECHARATE
080902,Alto Kepashiato,CUSCO,ECHARATE
080902,Cigakiato,CUSCO,ECHARATE
080902,Alto Postakiato,CUSCO,ECHARATE
080902,San Martin De Lagunas,CUSCO,ECHARATE
080902,Lagunas San Martin,CUSCO,ECHARATE
080902,Alto Lagunas,CUSCO,ECHARATE
080902,Tunkichaca,CUSCO,ECHARATE
080902,Pomoreni,CUSCO,ECHARATE
080902,Puguientimari Margen Derecho,CUSCO,ECHARATE
150127,Casa Blanca,LIMA,PUNTA NEGRA
070105,Barranco Colorado,CALLAO,LA PUNTA
070105,Colonia Penal,CALLAO,LA PUNTA
150123,Pampa Tinaja,LIMA,PACHACAMAC
090718,Layan Pampa,HUANCAVELICA,TINTAY PUNCU
090718,Cachiccarana,HUANCAVELICA,TINTAY PUNCU
090718,Parajasa,HUANCAVELICA,TINTAY PUNCU
090718,Chinchipata,HUANCAVELICA,TINTAY PUNCU
090718,Incapampa,HUANCAVELICA,TINTAY PUNCU
090718,Ingahuasi,HUANCAVELICA,TINTAY PUNCU
090718,Huaccaychuco,HUANCAVELICA,TINTAY PUNCU
090718,Pacrahuayco,HUANCAVELICA,TINTAY PUNCU
090718,Uchuy Sune,HUANCAVELICA,TINTAY PUNCU
090718,Yurac Corral,HUANCAVELICA,TINTAY PUNCU
090718,Sachapata,HUANCAVELICA,TINTAY PUNCU
090718,Patahuasi,HUANCAVELICA,TINTAY PUNCU
090718,Pampahuasi,HUANCAVELICA,TINTAY PUNCU
090718,Paltarumi,HUANCAVELICA,TINTAY PUNCU
090718,Cochabamba Grande,HUANCAVELICA,TINTAY PUNCU
090718,Jerusalen,HUANCAVELICA,TINTAY PUNCU
090718,Llantacuna,HUANCAVELICA,TINTAY PUNCU
090718,Jampato,HUANCAVELICA,TINTAY PUNCU
090718,Jonjorpata / Cconccarpata,HUANCAVELICA,TINTAY PUNCU
090718,Colpa,HUANCAVELICA,TINTAY PUNCU
090718,Pirhuayocc,HUANCAVELICA,TINTAY PUNCU
090718,Anchac,HUANCAVELICA,TINTAY PUNCU
090718,Erapata,HUANCAVELICA,TINTAY PUNCU
090718,Chucchucuri,HUANCAVELICA,TINTAY PUNCU
090707,Chunguro Pampa,HUANCAVELICA,HUACHOCOLPA
090707,Pan de Azucar,HUANCAVELICA,HUACHOCOLPA
090718,Yana Willca,HUANCAVELICA,TINTAY PUNCU
090718,Ccochapata,HUANCAVELICA,TINTAY PUNCU
090718,Chaupi Huaycco,HUANCAVELICA,TINTAY PUNCU
090718,Allccoccocha,HUANCAVELICA,TINTAY PUNCU
090718,Jatun Huayco,HUANCAVELICA,TINTAY PUNCU
090718,Toccaruay,HUANCAVELICA,TINTAY PUNCU
090718,Huarmiccocha,HUANCAVELICA,TINTAY PUNCU
080910,Kuvivari,CUSCO,PICHARI
050406,Cayramayo,AYACUCHO,SANTILLANA
050406,Chichumichi,AYACUCHO,SANTILLANA
050406,Chuñuna,AYACUCHO,SANTILLANA
050406,Putis,AYACUCHO,SANTILLANA
050406,Huayjohuasi,AYACUCHO,SANTILLANA
050406,Tejahuasi,AYACUCHO,SANTILLANA
050406,Rumichaca,AYACUCHO,SANTILLANA
050406,Parobamba,AYACUCHO,SANTILLANA
050406,Cuchocorral,AYACUCHO,SANTILLANA
050406,Rodeo Patahuasi,AYACUCHO,SANTILLANA
050406,Llulluchapata,AYACUCHO,SANTILLANA
050406,Mashuacancha,AYACUCHO,SANTILLANA
080910,Nueva Agrupacion Ashaninka,CUSCO,PICHARI
080910,Canelon,CUSCO,PICHARI
080910,Puerto Embarcadero,CUSCO,PICHARI
050406,Viscatan Pata,AYACUCHO,SANTILLANA
050406,Saihua Llamanniyocc,AYACUCHO,SANTILLANA
080910,Mimirini Nativos,CUSCO,PICHARI
080910,Puerto Cocos,CUSCO,PICHARI
090718,Churrubamba,HUANCAVELICA,TINTAY PUNCU
080910,Getariato,CUSCO,PICHARI
080910,Santa Ines,CUSCO,PICHARI
080910,Kobiriari,CUSCO,PICHARI
080910,Mantaro,CUSCO,PICHARI
080910,Shantushari,CUSCO,PICHARI
080910,Teresa,CUSCO,PICHARI
080910,Agua Dulce / Agua Dulce Teresa,CUSCO,PICHARI
080910,Miraflores,CUSCO,PICHARI
080910,Kepeashari,CUSCO,PICHARI
080910,Natividad,CUSCO,PICHARI
080910,Ovayery,CUSCO,PICHARI
080910,Mimirini,CUSCO,PICHARI
080910,Villa Vista / Villavista,CUSCO,PICHARI
050406,Pampahuasi,AYACUCHO,SANTILLANA
080902,Tipeshiaro,CUSCO,ECHARATE
080910,Pitirinquini,CUSCO,PICHARI
080910,Shancuatiari,CUSCO,PICHARI
080910,Tiñunbancani,CUSCO,PICHARI
080910,Kapiroshi,CUSCO,PICHARI
080910,Quimosherinkani,CUSCO,PICHARI
080910,Cometarincani,CUSCO,PICHARI
080902,Ampliacion Chacopishiato,CUSCO,ECHARATE
080910,Teresa  Alta Porvenir,CUSCO,PICHARI
080910,Alto Parijari,CUSCO,PICHARI
080910,Kinkibiri Baja,CUSCO,PICHARI
080910,Saruyacu,CUSCO,PICHARI
080902,Tipeshiari,CUSCO,ECHARATE
080910,Nueva Fortaleza,CUSCO,PICHARI
080910,Irinikiari,CUSCO,PICHARI
080910,Kitamaronkani,CUSCO,PICHARI
080910,Los Angeles,CUSCO,PICHARI
080910,Nueva Union Kempiri,CUSCO,PICHARI
080910,Saboroshari,CUSCO,PICHARI
080902,Chamiriato,CUSCO,ECHARATE
080902,Inkaare,CUSCO,ECHARATE
080902,Potaskiato Bajo,CUSCO,ECHARATE
080902,Puquentimari / Puquientimari Alto,CUSCO,ECHARATE
080902,Sankuareni,CUSCO,ECHARATE
080902,Palomani,CUSCO,ECHARATE
080902,Manatarushiato,CUSCO,ECHARATE
080902,Alto Ozonampiato,CUSCO,ECHARATE
080902,Changuirhuato,CUSCO,ECHARATE
080902,Alto Shimaa,CUSCO,ECHARATE
080902,Bajo Kuviriari,CUSCO,ECHARATE
080902,Nueva Esperanza,CUSCO,ECHARATE
080902,Ozonampiato Margen Izquierda,CUSCO,ECHARATE
080902,Ochigoteni,CUSCO,ECHARATE
080902,Chakopishiato,CUSCO,ECHARATE
080902,Materiato,CUSCO,ECHARATE
080902,Ozonanpiato,CUSCO,ECHARATE
080902,Shimaa,CUSCO,ECHARATE
080902,Kepashiato,CUSCO,ECHARATE
080902,Tsokirina,CUSCO,ECHARATE
080902,Puente Kumpirushiato,CUSCO,ECHARATE
080902,Alto Materiato,CUSCO,ECHARATE
080902,Ampliacion Monte Carmelo,CUSCO,ECHARATE
080902,Triorio,CUSCO,ECHARATE
080902,Rio Blanco Capiro,CUSCO,ECHARATE
080902,Alto Union,CUSCO,ECHARATE
080902,Kuviriari,CUSCO,ECHARATE
080902,Santa Rosa,CUSCO,ECHARATE
