UBIGEO,NOMBRE,DEPARTAMENTO,DISTRITO
090404,MARCAS,HUANCAVELICA,CAPILLAS
090410,CAMAYOCC,HUANCAVELICA,SAN JUAN
060805,SAN FRANCISCO DE ASIS,CAJAMARCA,HUABAL
010514,SAN MIGUEL DE PORO PORO,AMAZONAS,PISUQUIA
060613,MALLETA,CAJAMARCA,SANTO TOMAS
090117,SANTA ROSA DE CHOPCCA,HUANCAVELICA,YAULI
090117,CHUÑUNAPAMPA,HUANCAVELICA,YAULI
140303,PUESTO DE SALUD CHIRIMOYO,LAMBAYEQUE,ILLIMO
140305,PUNTO CUATRO,LAMBAYEQUE,MOCHUMI
050406,PUESTO DE SALUD ARANHUAY,AYACUCHO,SANTILLANA
060907,CHURUYACU,CAJAMARCA,TABACONAS
060907,LINDEROS,CAJAMARCA,TABACONAS
050505,PUESTO DE SALUD SAN JOSE DE VILLA VISTA,AYACUCHO,CHUNGUI
150132,CENTRO DE SALUD SANTA FE DE TOTORITA,LIMA,SAN JUAN DE LURIGANCHO
220401,INTIYACU,SAN MARTIN,SAPOSOA
220401,CHAMBIRA,SAN MARTIN,SAPOSOA
250104,SANTA ROSA DE ABUJAO,UCAYALI,MASISEA
150202,JULQUILLAS,LIMA,PARAMONGA
150724,HUINCO,LIMA,CASTA
150716,SAGRADO CORAZON DE JESUS,LIMA,SAN ANTONIO
220904,AGUANO MUYUNA,SAN MARTIN,CHAZUTA
220503,SANTIAGO DE BORJA,SAN MARTIN,BARRANQUITA
090119,NUEVA ACOBAMBILLA,HUANCAVELICA,HUANDO
250106,JUVENTUD,UCAYALI,NUEVA REQUENA
050505,PUESTO DE SALUD PUTUCUNAY,AYACUCHO,CHUNGUI
220708,NUEVO LORETO,SAN MARTIN,SHAMBOYACU
150135,CENTRO DE SALUD INFANTAS,LIMA,SAN MARTIN DE PORRES
250201,MALDONADILLO,UCAYALI,RAIMONDI
220603,MIRAFLORES,SAN MARTIN,HUICUNGO
220511,SAN FERNANDO,SAN MARTIN,ZAPATERO
220511,PROGRESO,SAN MARTIN,ZAPATERO
150111,SANTA MAGDALENA SOFIA,LIMA,EL AGUSTINO
250203,SEMPAYA,UCAYALI,TAHUANIA
220401,ALMENDRAS,SAN MARTIN,SAPOSOA
210901,SULLCA,PUNO,MOHO
250102,PUEBLO LIBRE,UCAYALI,CAMPOVERDE
250104,ABUJAO,UCAYALI,MASISEA
150109,NUEVA GALES,LIMA,CIENEGUILLA
081103,OTOCANI,CUSCO,CHALLABAMBA
080407,PATABAMBA,CUSCO,TARAY
200101,QUINOS CORPORATION E.I.R.L.,PIURA,PIURA
130602,CUSHCANDAY,LA LIBERTAD,AGALLPAMPA
060608,PAJONAL,CAJAMARCA,SAN ANDRES DE CUTERVO
130107,HOSPITAL DISTRITAL ALTO MOCHE-WALTER CRUZ VILCA,LA LIBERTAD,MOCHE
080707,YORENCCA,CUSCO,QUIÑOTA
250306,PUESTO DE SALUD VALLE DE SION,UCAYALI,HUIPOCA
110101,SERVICIOS MÉDICOS PERUANOS A & M SAC,ICA,ICA
150901,CENTRO DE ATENCION PRIMARIA I OYON,LIMA,OYON
010106,CANAAN,AMAZONAS,CHUQUIBAMBA
120803,POSTA MEDICA DE ANDAYCHAGUA,JUNIN,HUAY HUAY
150104,SMILERS CONSULTORIO ODONTOLOGICO INTEGRAL,LIMA,BARRANCO
200104,INSTITUTO MEDICO EN SALUD OCUPACIONAL SOY DIABETICO,PIURA,CASTILLA
080910,NATIVIDAD,CUSCO,PICHARI
060807,TAMBILLO,CAJAMARCA,POMAHUACA
010609,EL GUAMBO,AMAZONAS,OMIA
250107,SANTA TERESA DE SHINUYA,UCAYALI,MANANTAY
120107,"CONSULTORIO DENTAL ""WASHINGTON""",JUNIN,CHILCA
220901,HOSPITAL TARAPOTO,SAN MARTIN,TARAPOTO
030708,PICOSAYHUAS,APURIMAC,PROGRESO
030501,APUMARCA,APURIMAC,TAMBOBAMBA
010503,BUENA VISTA,AMAZONAS,COCABAMBA
010120,OQUISH,AMAZONAS,SOLOCO
010607,MICHINA,AMAZONAS,MARISCAL BENAVIDES
090117,CCOLLPACCASA,HUANCAVELICA,YAULI
080403,SAYLLAFAYA,CUSCO,LAMAY
250107,"CENTRO DE SALUD MENTAL COMUNITARIO ""NUEVO AMANECER""",UCAYALI,MANANTAY
150117,BREVETE & SALUD AT S.A.C.,LIMA,LOS OLIVOS
160108,PIAS RIO NAPO,LORETO,PUNCHANA
210109,TOLAPALCA,PUNO,MAÑAZO
150128,SERVICIOS  MEDICOS IKAM,LIMA,RIMAC
140103,"CENTRO MEDICO ""JUAN AITA VALLE"" ETEN",LAMBAYEQUE,ETEN
080708,ALCCA VICTORIA,CUSCO,VELILLE
080704,HUARACO,CUSCO,COLQUEMARCA
200101,NEFROLIFE PIURA SAC,PIURA,PIURA
150130,INVERSIONES MEDICAS PERUANAS S.A.C,LIMA,SAN BORJA
030504,HAPURO,APURIMAC,HAQUIRA
200115,ASISTENCIA SALUD S.C.R.L.      AMBULANCIA   EUE - 368,PIURA,VEINTISEIS DE OCTUBRE
040108,POSTA MEDICA LA JOYA,AREQUIPA,LA JOYA
120101,CENTRO MEDICO MUNICIPAL,JUNIN,HUANCAYO
220901,CLINICA SAN MARTIN,SAN MARTIN,TARAPOTO
040126,CONSULTORIO MÉDICO,AREQUIPA,YANAHUARA
160108,BTH RAUMIS,LORETO,PUNCHANA
150110,CD LIMAMEDIC PERU S.A.C,LIMA,COMAS
040203,LA EUGENIA,AREQUIPA,MARIANO NICOLAS VALCARCEL
020105,PUESTO DE SALUD HUANJA,ANCASH,INDEPENDENCIA
021103,PUESTO DE SALUD QUIAN,ANCASH,CULEBRAS
200111,PUESTO DE SALUD SANTA ELENA - LAS LOMAS,PIURA,LAS LOMAS
200111,PUESTO DE SALUD PUERTA PULACHE,PIURA,LAS LOMAS
